,total_files,earliest_commit,typescript_4.0,typescript_4.1,typescript_4.2,remapped_name_in_mapped_type,typescript_4.3,typescript_4.4,typescript_4.5,type_modifier_on_import_name,template_literal_type,named_tuple_member,short_circuit_assignment,override_on_class_method,typescript_4.7,typescript_4.9,abstract_construct_signature,extends_constraint_on_infer,accessor_keyword,static_block_in_class,import_assertion,variance_annotations_on_type_parameter,satisfies_expression
shuding/nextra,63.0,2020.0,,,,,,,70.0,,647.0,481.0,686.0,,47.0,,,,,,,,
remix-run/react-router,80.0,2020.0,,,,,51.0,,,,320.0,,,,16.0,,,,,,,,
nexe/nexe,32.0,2020.0,,,,,,32.0,,,,,,,214.0,39.0,,,,,,,
zhongsp/TypeScript,0.0,2020.0,,,,,,,,,,,,,,,,,,,,,
x-extends/vxe-table,234.0,2020.0,,143.0,6.0,,79.0,,368.0,,,,,,31.0,,,,,,,,
total-typescript/beginners-typescript-tutorial,50.0,2022.0,,,,,,,,,,,,,92.0,,,,,,,,
rjsf-team/react-jsonschema-form,301.0,2020.0,,,,621.0,,,171.0,,621.0,,,,52.0,,,,,,,,
Sairyss/domain-driven-hexagon,105.0,2020.0,,306.0,,,,,,,,,,,140.0,,,,,,,,
vuejs/core,420.0,2020.0,1.0,42.0,9.0,,,,,,243.0,629.0,,,43.0,,,,,,,,
puppeteer/puppeteer,179.0,2020.0,,89.0,79.0,,,50.0,96.0,357.0,734.0,664.0,726.0,371.0,8.0,35.0,,,,,,,
aidenybai/million,58.0,2021.0,,,96.0,,50.0,44.0,2.0,,,,666.0,,1.0,6.0,,,,,,,
socketio/socket.io-client,22.0,2020.0,47.0,,,,39.0,4.0,,,,,,,,,,,,,,,
AykutSarac/jsoncrack.com,19.0,2022.0,,,,,,,74.0,,,,734.0,,77.0,46.0,,,,,,,
streamich/react-use,191.0,2020.0,,73.0,,,,,,,,164.0,,,,23.0,,,,,,,
yinxin630/fiora,109.0,2020.0,,,,,,,,,,,,,,,,,,,,,
ionic-team/ionic-framework,787.0,2020.0,,,,,,,,,,,541.0,,,,,,,,,,
keystonejs/keystone,541.0,2020.0,7.0,1.0,14.0,,21.0,6.0,16.0,,573.0,,438.0,,64.0,23.0,,,,,,,
googleapis/google-api-nodejs-client,739.0,2020.0,,,,,,,,,,,,,,,,,,,,,
microsoft/azuredatastudio,5502.0,2020.0,-75.0,-86.0,-110.0,,-98.0,-89.0,-98.0,,,62.0,791.0,-48.0,149.0,,,,,,,,
amplication/amplication,1480.0,2020.0,,,,760.0,,,,,760.0,726.0,,,,,,,,,,,
elastic/eui,600.0,2020.0,118.0,300.0,,,,,83.0,,,372.0,,,,,,,,,,,
Redocly/redoc,112.0,2020.0,,195.0,,,,,,,,,,,,,,,,,,,
TanStack/query,164.0,2020.0,,18.0,,,,,24.0,362.0,690.0,,,,21.0,,,,,,,,
socketio/socket.io,56.0,2020.0,37.0,46.0,,,39.0,4.0,,,,166.0,,,,,,,,,,,
akveo/ngx-admin,379.0,2020.0,152.0,,125.0,,351.0,79.0,,,,,,,,,,,,,,,
